DIAS,TRÊS MARIAS,BSM,FORTALEZA,JATOBÁ,ACARÁ DO TAPAJÓS,BUBURÉ,BELA VISTA
1992-09-01,490.2270612862492,385.5462116035268,360.3,385.5462116035268,395.51769436019737,482.64774405538685,343.76666666666665
1992-10-01,488.98892424798356,384.45343048235554,359.5483870967742,384.45343048235554,389.7798927196837,477.74558196491176,360.7741935483871
1992-11-01,499.56179975786534,393.7850621165053,365.96666666666664,393.7850621165053,398.06666666666666,483.55203983169764,386.23333333333335
1992-12-01,642.6135670645424,520.0427103667278,452.80645161290323,520.0427103667278,536.483870967742,585.4031996535253,614.4193548387096
1993-01-01,747.7223679954153,612.8118544730194,516.6129032258065,612.8118544730194,604.6129032258065,630.5044120115223,743.4193548387096
1993-02-01,831.3725308336014,686.641580833936,567.3928571428571,686.641580833936,692.3214285714286,696.0567613591568,855.75
1993-03-01,1072.4012222358776,899.3737707973067,713.7096774193549,899.3737707973067,847.7741935483871,798.7923990312742,1048.0645161290322
1993-04-01,935.4940863823379,778.5393810726106,630.6,778.5393810726106,751.4,733.2856076406937,948.5666666666667
1993-05-01,749.4228137132051,614.3126697467308,517.6451612903226,614.3126697467308,614.1290322580645,638.6858068840186,790.9032258064516
1993-06-01,570.3410814632368,456.2549345355026,408.93333333333334,456.2549345355026,107.78333333333333,216.20425056828063,604.7
1993-07-01,477.72347136762704,374.5105292940168,352.7096774193548,374.5105292940168,383.14516129032256,473.5026419102695,496.96774193548384
1993-08-01,426.5620828936264,322.1266050765803,331.4193548387097,322.1266050765803,351.66129032258067,454.0054984042157,416.741935483871
1993-09-01,422.1155364074894,316.3666666666667,331.2,316.3666666666667,348.0833333333333,451.72753684820816,349.8
1993-10-01,436.6760000328381,328.38709677419354,341.16129032258067,328.38709677419354,360.2258064516129,460.48216451937935,346.1290322580645
1993-11-01,482.9357066923377,369.1,369.4,369.1,405.3833333333333,493.7852718795002,426.43333333333334
1993-12-01,602.6468657194494,484.0967741935484,429.4516129032258,484.0967741935484,475.43548387096774,537.2198336654894,510.4062420823434
1994-01-01,930.1387444184863,773.3548387096774,627.9677419354839,773.3548387096774,752.258064516129,734.8833052268718,926.2217405772083
1994-02-01,979.0038603140936,813.25,662.0,813.25,805.1071428571429,775.0389314033057,1011.6660236973909
1994-03-01,1069.6077054627021,889.6129032258065,721.8709677419355,889.6129032258065,883.9032258064516,832.1735714490748,1127.2124296448505
1994-04-01,1004.6634468585725,822.5333333333333,695.6333333333333,822.5333333333333,855.9333333333333,818.1261121785457,1114.0584761586508
1994-05-01,803.5033888658766,665.4516129032259,545.8709677419355,665.4516129032259,678.0645161290323,687.0130413309234,842.7654478733963
1994-06-01,619.6302714681954,495.9,444.06666666666666,495.9,535.3,588.2039858301835,655.0351064365326
1994-07-01,529.0358577574423,413.1290322580645,392.8709677419355,413.1290322580645,449.80645161290323,525.9972776953829,529.448813822929
1994-08-01,451.9297022845507,344.0,347.51612903225805,344.0,382.2834116995349,477.5176692539089,432.93068243958186
1994-09-01,427.88860266028445,321.3666666666667,334.8333333333333,321.3666666666667,366.4440930162001,467.1645309327317,414.77714953199995
1994-10-01,456.45469989668703,347.80645161290323,350.51612903225805,347.80645161290323,299.7258064516129,403.7702631543757,378.07803566701375
1994-11-01,501.6194103276128,390.3333333333333,374.3333333333333,390.3333333333333,406.6,491.51801197877853,407.96666666666664
1994-12-01,731.0062263214991,589.2903225806451,481.0967741935484,589.2903225806451,548.7096774193549,585.1426439329767,633.1935483870968
1995-01-01,862.9354838709677,795.6451612903226,628.741935483871,795.6451612903226,737.258064516129,718.1523382197687,894.8064516129032
1995-02-01,917.2857142857143,843.5714285714286,679.0357142857143,843.5714285714286,813.5178571428571,777.5640425445889,994.9642857142857
1995-03-01,986.8709677419355,880.6451612903226,724.1290322580645,880.6451612903226,877.241935483871,827.6226473357899,1078.3870967741937
1995-04-01,1054.3,867.7666666666667,717.3,867.7666666666667,882.0333333333333,833.9514081279548,1100.2
1995-05-01,1005.9032258064516,804.1612903225806,672.8387096774194,804.1612903225806,829.516129032258,797.8972498155813,1063.1935483870968
1995-06-01,731.4666666666667,556.1333333333333,492.23333333333335,556.1333333333333,597.9333333333333,634.926445371718,777.5
1995-07-01,573.0322580645161,422.64516129032256,397.16129032258067,422.64516129032256,456.38709677419354,529.0405663827262,564.7096774193549
1995-08-01,493.19354838709677,355.258064516129,352.9032258064516,355.258064516129,385.4193548387097,478.4806805191168,425.96774193548384
1995-09-01,460.73333333333335,327.1,334.5,327.1,355.26666666666665,455.9887478591781,319.73333333333335
1995-10-01,472.96774193548384,341.5483870967742,342.7741935483871,341.5483870967742,363.5806451612903,455.35483870967744,331.0
